Industry,Employed by this Industry,Code,Occupation,Projected Growth (2010-2020),Projected Job Openings (2010-2020)
Accomodation and Food Services,95%,35-9031.00,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",Slower than average,245700
Accomodation and Food Services,95%,43-4081.00,"Hotel, Motel, and Resort Desk Clerks",Average,115900
Accomodation and Food Services,94%,35-2011.00,"Cooks, Fast Food",Decline slowly or moderately,113000
Accomodation and Food Services,93%,35-2014.00,"Cooks, Restaurant",Average,312900
Accomodation and Food Services,92%,35-3031.00,Waiters and Waitresses,Slower than average,1324300
Accomodation and Food Services,86%,35-9021.00,Dishwashers,Slower than average,268800
Accomodation and Food Services,83%,35-3021.00,"Combined Food Preparation and Serving Workers, Including Fast Food",Average,1146500
Accomodation and Food Services,82%,35-9011.00,Dining Room and Cafeteria Attendants and Bartender Helpers,Slower than average,165400
Accomodation and Food Services,81%,35-3011.00,Bartenders,Slower than average,220600
Accomodation and Food Services,81%,35-2015.00,"Cooks, Short Order",Slower than average,46500
Accomodation and Food Services,76%,35-1012.00,First-Line Supervisors of Food Preparation and Serving Workers,Average,248300
Accomodation and Food Services,72%,35-1011.00,Chefs and Head Cooks,Little or no change,18000
Accomodation and Food Services,64%,35-3022.00,"Counter Attendants, Cafeteria, Food Concession, and Coffee Shop",Slower than average,350400
Accomodation and Food Services,55%,11-9081.00,Lodging Managers,Slower than average,18200
Accomodation and Food Services,54%,35-2021.00,Food Preparation Workers,Average,377100
Accomodation and Food Services,53%,35-9099.00,"Food Preparation and Serving Related Workers, All Other",Decline slowly or moderately,22900
Accomodation and Food Services,51%,39-6011.00,Baggage Porters and Bellhops,Average,17100
Accomodation and Food Services,48%,35-2019.00,"Cooks, All Other",Average,8000
Accomodation and Food Services,47%,11-9051.00,Food Service Managers,Decline slowly or moderately,59100
Accomodation and Food Services,46%,39-6012.00,Concierges,Average,7400
Accomodation and Food Services,39%,39-3011.00,Gaming Dealers,Average,54600
Accomodation and Food Services,36%,35-3041.00,"Food Servers, Nonrestaurant",Average,96700
Accomodation and Food Services,35%,53-3031.00,Driver/Sales Workers,Average,122900
Accomodation and Food Services,34%,11-9071.00,Gaming Managers,Average,1000
Accomodation and Food Services,31%,39-1011.00,Gaming Supervisors,Slower than average,9200
Accomodation and Food Services,30%,37-2012.00,Maids and Housekeeping Cleaners,Slower than average,351900
Accomodation and Food Services,26%,43-3041.00,Gaming Cage Workers,Decline rapidly,3100
Accomodation and Food Services,24%,39-3019.00,"Gaming Service Workers, All Other",Average,6900
Accomodation and Food Services,23%,27-3012.00,Public Address System and Other Announcers,Slower than average,3800
Accomodation and Food Services,23%,33-9031.00,Gaming Surveillance Officers and Gaming Investigators,Slower than average,1700
Accomodation and Food Services,22%,41-2012.00,Gaming Change Persons and Booth Cashiers,Decline rapidly,9100
Accomodation and Food Services,20%,51-3011.00,Bakers,Little or no change,46800
Accomodation and Food Services,14%,35-2012.00,"Cooks, Institution and Cafeteria",Average,136200
Accomodation and Food Services,14%,13-1121.00,"Meeting, Convention, and Event Planners",Much faster than average,45000
Accomodation and Food Services,14%,51-6011.00,Laundry and Dry-Cleaning Workers,Little or no change,44300
Accomodation and Food Services,14%,37-1011.00,First-Line Supervisors of Housekeeping and Janitorial Workers,Little or no change,33200
Accomodation and Food Services,14%,39-3093.00,"Locker Room, Coatroom, and Dressing Room Attendants",Average,12700
Accomodation and Food Services,13%,27-2031.00,Dancers,Average,6200
Accomodation and Food Services,10%,39-1012.00,Slot Supervisors,Slower than average,4600
